Delta,Theta1,Theta2,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Alpha_Ratio,Theta_Ratio,Shannon_Entropy,Hjorth_Activity,Hjorth_Mobility,Hjorth_Complexity,Spatial_Complexity
7.635564649526873e-08,5.533162202505456e-09,2.422180819586411e-09,1.6423644847547535e-09,1.938880189800115e-09,6.007952468546843e-10,2.4412590283384385e-10,9.27742364916138e-11,2.829203754441071e-11,0.04030245380772656,0.08952748940906385,7.411075338941762,9.163891247177859e-10,0.047483605555510365,0.7145450624669707,0.0
7.957581522212981e-08,5.632390551533428e-09,2.8572106871238954e-09,2.194692894400618e-09,1.7636389069090815e-09,5.43243523654816e-10,2.399001583304332e-10,9.674112402193124e-11,3.183915790639852e-11,0.04259180175984633,0.09134843442315764,7.374232795941225,8.612721468583596e-10,0.05046801722800381,0.7499095400663461,0.0
7.779143526267496e-08,6.118408128789555e-09,2.4917746101163397e-09,2.131012426398269e-09,2.5265308461708414e-09,6.152291213088139e-10,2.2535854061915024e-10,9.947069692662102e-11,3.2372954143782505e-11,0.05060754175928216,0.09355579905838969,7.269057152035076,9.474198576823082e-10,0.045710019057519466,0.6346464390958472,0.0
8.131126915367535e-08,6.007202553091026e-09,3.163982198887691e-09,2.8708387841123577e-09,3.097573288906379e-09,6.836187355713932e-10,2.331415402265277e-10,1.0608946991394016e-10,2.8617656377214888e-11,0.061212390039132224,0.09406021757393844,7.384043527380104,1.1287689966894736e-09,0.051607665721296374,0.8706949841602067,0.0
7.255141574923476e-08,5.33101001530166e-09,2.061090311662482e-09,3.5553137180622945e-09,2.7695877991435288e-09,6.885642400770776e-10,2.5703046135333885e-10,1.1318494384588068e-10,3.8632663575222315e-11,0.07239476955134987,0.08460991814896149,7.297119742634493,8.166712138801405e-10,0.061131602518393086,0.8430894536650665,0.0
6.967014380796037e-08,7.51912372710009e-09,2.2532088443098928e-09,2.679154210587141e-09,2.7018712955578498e-09,6.84665365645594e-10,2.5005193250147616e-10,1.2892767358459603e-10,4.516697774003331e-11,0.06261861978787264,0.11371995487309203,7.2492235613590985,6.449249795813761e-10,0.05951529344984187,0.6205605482193185,0.0
7.704867244597258e-08,4.970747005056499e-09,3.217238414553959e-09,2.344868467528323e-09,3.6262221705206633e-09,7.433750513639697e-10,3.024169928571985e-10,1.401612046928909e-10,6.616803429068296e-11,0.06457965030844932,0.08855622317297455,7.357402890765726,1.138373330603649e-09,0.050476033186540786,0.6814819391369307,0.0
9.072767598701147e-08,5.46322091153803e-09,2.6085059562780486e-09,2.3841076953269524e-09,1.4941370826696822e-09,6.554477581845582e-10,2.6554062748473454e-10,1.2860565558973848e-10,5.743046540102931e-11,0.037367824460243525,0.0777730365032272,7.316608422023022,1.1303377531382494e-09,0.04666557480533039,0.6798791912541082,0.0
5.648032053685315e-08,6.500608023290775e-09,2.7557713252239996e-09,2.0876054535145545e-09,2.068657216411873e-09,6.988138998555435e-10,2.5979020186782015e-10,1.4633502957219423e-10,6.048309577175594e-11,0.05848998950182431,0.1302625877899859,7.3533488020549935,6.846691654411926e-10,0.059145026931229604,0.6151521009249644,0.0
8.327625885457077e-08,6.9843998639321956e-09,2.2502690345024458e-09,2.425373568728169e-09,2.0814040294009622e-09,6.232269395629556e-10,2.8979254552662516e-10,1.5775877302011022e-10,7.015713875067078e-11,0.04591273525235666,0.09407806332689005,7.256599692317334,8.477787442415127e-10,0.05453018596545205,0.6067107957243448,0.0
